日付,証明番号,ゲーム,カード番号,キャラ名,セット,仕入値,出品数,全体中央値,TOP中央値,目標価格,損益分岐,乖離率,判定,出品価格
2026-04-13,142490880,Pokemon,225,Mega Eelektross Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,9900,7,47.99,47.99,169.84,108.30,254%,NO-GO,
2026-04-13,142490878,Pokemon,229,Mega Hawlucha Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,9900,10,70.00,69.99,152.51,108.30,118%,NO-GO,
2026-04-13,142490869,Pokemon,226,Mega Gardevoir Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,12500,8,80.00,79.99,185.83,131.96,132%,NO-GO,
2026-04-13,142490866,Pokemon,228,Mega Lucario Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,13500,31,100.00,100.00,198.64,141.06,99%,NO-GO,
2026-04-13,142490859,Pokemon,235,Mega Eelektross Ex,POKEMON JAPANESE M2A-MEGA DREAM EX,11500,13,99.95,99.95,173.01,122.86,73%,NO-GO,
2026-04-13,142490852,Pokemon,247,Iris's Fighting Spirit,POKEMON JAPANESE M2A-MEGA DREAM EX,24500,12,219.75,219.75,282.05,241.17,28%,保留,282.98
2026-04-13,142490884,Pokemon,231,Mega Scrafty Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,10500,5,181.99,181.99,145.36,113.76,-20%,GO,172.98
2026-04-13,142490880,Pokemon,225,Mega Eelektross Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,9900,7,47.99,47.99,169.84,108.30,254%,NO-GO,
2026-04-13,142490878,Pokemon,229,Mega Hawlucha Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,9900,10,70.00,69.99,152.51,108.30,118%,NO-GO,
2026-04-13,142490869,Pokemon,226,Mega Gardevoir Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,12500,8,80.00,79.99,185.83,131.96,132%,NO-GO,
2026-04-13,142490866,Pokemon,228,Mega Lucario Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,13500,31,100.00,100.00,198.64,141.06,99%,NO-GO,
2026-04-13,142490859,Pokemon,235,Mega Eelektross Ex,POKEMON JAPANESE M2A-MEGA DREAM EX,11500,13,99.95,99.95,173.01,122.86,73%,NO-GO,
2026-04-13,142490852,Pokemon,247,Iris's Fighting Spirit,POKEMON JAPANESE M2A-MEGA DREAM EX,24500,12,219.75,219.75,282.05,241.17,28%,保留,282.98
2026-04-13,142490884,Pokemon,231,Mega Scrafty Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,10500,5,181.99,181.99,145.36,113.76,-20%,GO,172.98
2026-04-13,142490880,Pokemon,225,Mega Eelektross Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,9900,7,47.99,47.99,169.84,108.30,254%,NO-GO,
2026-04-13,142490878,Pokemon,229,Mega Hawlucha Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,9900,10,70.00,69.99,152.51,108.30,118%,NO-GO,
2026-04-13,142490869,Pokemon,226,Mega Gardevoir Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,12500,8,80.00,79.99,185.83,131.96,132%,NO-GO,
2026-04-13,142490866,Pokemon,228,Mega Lucario Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,13500,31,100.00,100.00,198.64,141.06,99%,NO-GO,
2026-04-13,142490859,Pokemon,235,Mega Eelektross Ex,POKEMON JAPANESE M2A-MEGA DREAM EX,11500,13,99.95,99.95,173.01,122.86,73%,NO-GO,
2026-04-13,142490852,Pokemon,247,Iris's Fighting Spirit,POKEMON JAPANESE M2A-MEGA DREAM EX,24500,12,219.75,219.75,282.05,241.17,28%,保留,282.98
2026-04-13,142490884,Pokemon,231,Mega Scrafty Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,10500,6,181.99,181.99,145.36,113.76,-20%,GO,172.98
