日付,検索条件,タイトル,メルカリ価格,メルカリURL,eBay中央値,eBay出品数,判定,推奨出品価格
2026-04-14,cat:1409 | ¥1000-50000,PSA10 ゴムゴムの黄金回転弾 パラレル R-P [OP15-116],48000,https://jp.mercari.com/item/m74824228614,156103472,444.0,3,HOLD,532.98
2026-04-14,cat:1409 | ¥1000-50000,ONE PIECE ジュエリーボニー SP ST02-007 PSA10,21000,https://jp.mercari.com/item/m25393863363,94175225,249.99,72,GO,237.98
2026-04-14,cat:1409 | ¥1000-50000,PSA10 ワンピース 少女,15500,https://jp.mercari.com/item/m94419476281,154232085,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ONE PIECE magazine 20 モンキー・D・ルフィ PSA10,44444,https://jp.mercari.com/item/m47443047274,136819032,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,値下げしました‼️2023 ワンピース カードゲーム ナミ #016 PSA10,46666,https://jp.mercari.com/item/m80488353752,88419553,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】モンキー・D・ルフィ スタンダードバトル 優勝 プロモ 12月優勝,17999,https://jp.mercari.com/item/m29796150486,154136723,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ワンピースカードゲーム　ペローナ　フラッグシップバトル　プロモ　PSA10,18000,https://jp.mercari.com/item/m16558521793,138164329,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,2025 ONE PIECE OP12-034 JP ペローナ PSA10,16999,https://jp.mercari.com/item/m85291736269,139153079,145.0,33,NOGO,220.94
2026-04-14,cat:1409 | ¥1000-50000,2025 ONE PIECE ジュエリー・ボニー EB02-015 PSA10,10999,https://jp.mercari.com/item/m16789777531,139153067,145.0,3,HOLD,151.98
2026-04-14,cat:1409 | ¥1000-50000,ワンピース カード DON!! CARD MARCO-GOLD PSA10,17999,https://jp.mercari.com/item/m47676777469,139153049,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,2025 ワンピース ロビン ゴールドカード PSA10 EB03,23999,https://jp.mercari.com/item/m60286214452,139153047,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ワンピース カードゲーム ナミ ゴールドレア PSA10 EB03,28999,https://jp.mercari.com/item/m76057131134,139153046,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ONE PIECE EB03 JP DON!! NAMI-GOLD PSA10,27999,https://jp.mercari.com/item/m42468877520,139153045,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ONE PIECE EB03-042 JP KOALA 特別アート PSA10,45999,https://jp.mercari.com/item/m36562880994,139153043,354.64,16,NOGO,510.87
2026-04-14,cat:10861 | ¥1000-50000,フュージョンワールド PSA10 孫悟空 エナジーマーカー パラレル 極美品,17000,https://jp.mercari.com/item/m12896559796,92438220,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,フュージョンワールド　ベジータ　エナジーマーカー01 PSA10,18000,https://jp.mercari.com/item/m76904863568,92438206,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 ドラゴンボール　マンガブースター　孫悟天、トランクス　少年期　最安値,16999,https://jp.mercari.com/item/m10240139963,140463963,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,エナジーマーカー psa10 トランクス,8999,https://jp.mercari.com/item/m37891108014,95556152,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10DBトランクス5515,9500,https://jp.mercari.com/item/m87768620050,140655515,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 ベジータ エナジーマーカー パラレル ドラゴンボールカード,17999,https://jp.mercari.com/item/m76351375075,91433630,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,【PSA10】孫悟飯：幼年期 パラレル SCR★ FB03-139,28500,https://jp.mercari.com/item/m99239929351,153610057,300.0,3,HOLD,324.98
2026-04-14,cat:10861 | ¥1000-50000,2024 DBS FSN WORLD JP ベジット PSA10,30000,https://jp.mercari.com/item/m20009734931,,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 悟空 フリーザ SCR FB05-119 FB05-120 パラレル,46900,https://jp.mercari.com/item/m77950446201,,,,UNKNOWN,
